"articulo","iditem","cod_familia","cod_sub_familia"
"REACTIVO DE HORMONA PARATIROIDEA (PTH)",21995,2,6
"IMPRESORA DE TRANSFERENCIA TERMICA",11786,10,43
"PERNO PARA CERRADURA",8012,2,8
"LEVA DE INTERMEDIA",22788,2,12
"LAMPARA TDX",19344,4,7
"BRAZALETE",28486,2,3
"REACTIVO PARA DETECCION DE ALFAFETOPROTEINA (AFP)",22042,2,6
"REACTIVO PARA DETECCION DE ANTICUERPO ANTI-ANTIGENO DE SUPERFICIE HEPATITIS B (HBSAG)",22048,2,6
"REACTIVO DE HORMONA LUTEINIZANTE (LH) EN SANGRE",21994,2,6
"CALIBRADOR DE ESTRADIOL",21770,2,6
"CALIBRADOR PARA ANTIGENO PROSTATICO ESPECIFICO (PSA)",21787,2,6
"CALIBRADOR DE INSULINA",21774,2,6
"CONTROL DE ALFAPETOPROTEINA (AFP)",21807,2,6
"CONTROL HEPATITIS B ANTIGENO DE SUPERFICIE",21817,2,6
"INSUMOS PARA HEMOGRAMAS EQUIPO AUTOMATIZADO",37250,2,6
"CONTROL DE ANTIGENO PROSTATICO ESPECIFICO (PSA)",29941,2,6
"MARMITA ELECTRICA",6639,4,1
"IMPRESION DE CARATULA",42627,3,2
"SERVICIO DE TABLEROS DE ILUMINACION",6195,6,5
"TOMACORRIENTE INDUSTRIAL AEREO 2POLOS+TIERRA (220 V)",29950,2,9
"REPARACION DE EQUIPO DE RADIO",15112,3,7
"OBJETIVO DE INMERSION PARA MICROSCOPIO",15390,2,12
"ESTUFA DE LABORATORIO",15536,4,3
"GABINETE DE 19"" PARA EQUIPO DE COMUNICACION DE DATOS",7934,4,2
"SOFTWARE DE ANTIVIRUS Y SEGURIDAD DE TRANSACCIONES",14838,10,43
"LUMINARIA TIPO FAROLA COLONIAL",13057,2,9
"ESCRITORIO METALICO",1137,4,8
"BOBINA ESTERIPAPEL 100 MM",17484,2,9
"REPUESTO PARA ESFINGOMANOMETRO",17566,2,9
"CHAPA DE BISTURI MONOPOLAR",32726,2,9
"FRESA DIAMANTE TRONCOCONICA PARA TURBINA",18909,2,9
"BANDA ELASTICA PARA LIGADURA VASCULAR",18982,2,9
"TUBULADURA MICROGOTERO",17271,2,9
"APOSITO HIDROCOLOIDES AUTOADHESIVO FINO (APOSITO BIOACTIVO)",26193,2,9
"AMNIOTOMO DESCARTABLE",20338,2,9
"DISPOSITIVO REGULADOR DE GOTEO",15587,2,9
"MEZCLA OXIGENO (O2) , DIOXIDO DE CARBONO (CO2) Y NITROGENO (N2)",27694,2,6
"CUERITO PARA COLILLA",31291,2,6
"TORNILLO DE ACERO TORNEADO CABEZA FRESADA ROSCA NF",1825,2,8
"ACOPLE RAPIDO (MACHO)",12409,2,8
"ARRENDAMIENTO DE ELEVADOR",804,3,5
"TRATAMIENTO DE HIDROTERAPIA",35851,3,8
"ESTUDIO DE PERDIDA SANGUINEA INTESTINAL (PSI) CON CROMO 51",33381,3,8
"DOSIFICACION DE BENZODIACEPINAS EN SANGRE",33990,3,8
"REACTIVO DE CORTISOL BASAL",21965,2,6
"ECOGRAFIA ENDOANAL - NIÑO",33092,3,8
"MODELO MOLECULAR",36858,2,9
"ELECTROMIOGRAMA DE MIEMBRO INFERIOR",36003,3,8
"DOSIFICACION DE AMINOACIDOS EN SANGRE",32991,3,8
"DETECCION DE MYCOBACTERIUM TUBERCULOSIS (BK) EN LCR - TECNICA PCR",33371,3,8
"ESTUDIO DE FRAGILIDAD CROMOSOMICA",24480,3,8
"DETERMINACION DE REDUCTORES EN ORINA",24323,3,8
"DOSIFICACION DE BETA HIDROXI BUTIRATO (BHT)",27195,3,8
"DOSIFICACION DE CARNITINA TOTAL EN SANGRE",24362,3,8
"ADHESIVO ODONTOLOGICO",13163,2,6
"CALMANTE PULPAR",2862,2,6
"TUERCA DE RUEDA CABILLA",11764,2,12
"MANOMETRO OXIGENO PARA BALON DE TRASLADO",32370,2,9
"BATERIA (PARA AERONAVE)",29855,2,12
"RETEN DE SUSPENSION PARA EQUIPO DE TRANSPORTE",11981,2,12
"CAJA DE PLOMO",1972,2,8
"PLANCHA DE POLICARBONATO",8836,2,6
"FIBRA",4832,2,6
"TOALLA DE BAÑO",4496,2,3
"IMPRESORA DE CARRO",10206,10,43
"ARANDELA DE ALUMINIO",56069,2,8
"REFLECTOR METALICO PARA LAMPARA HALOGENA",12332,2,9
"VIDRIO DOBLE",6586,2,7
"REPARACION DE MESA DISTRIBUIDORA DE TINTA PARA IMPRESORA OFFSET",9152,3,7
"LAVARROPA INDUSTRIAL",2055,4,1
"VAINA PARA MOTOSIERRA",1393,2,8
"ASADERA DE CHAPA RECTANGULAR",26731,2,9
"TABLA DE COCINA",27392,2,9
"COLORANTE ORANGE G",27768,2,6
"4,6-DIAMIDINO 2-FENIL INDOL (DAPI)",36912,2,6
"MANTENIMIENTO DE PUERTA DE VEHICULO",67217,3,7
"EXTRACTOR DE FILTRO",10110,2,8
"TUBO CORRUGADO EXTENSIBLE",21244,2,9
"LAMPARA DE BRAZO CON OPALINA",6736,2,9
"REPARACION DE PLACA DE FOTOCOPIADORA",15106,3,7
"REVELADOR PARA PELICULA RADIOGRAFICA",9288,2,6
"FIJADOR PARA PELICULA RADIOGRAFICA",9287,2,6
"LACRE",13745,2,6
"PLANCHA DE COCINA",10091,2,9
"CABLE DE ACERO CON ALMA DE FIBRA",8166,2,8
"JUEGO DE FRENO DE CAJA DE CAMBIOS",22687,2,12
"TRIMETAZIDINA (COMPRIMIDOS)",42868,2,13
"REPARACION DE EQUIPO DE COMUNICACION",12316,3,7
"UNIDAD DE RESPALDO MAGNETO-OPTICO",6959,4,2
"PLACA EN T, ANGULO OBLICUO, 3.5 MM",24889,2,9
"ESPIGAS PARA FLUJIMETRO AIRE",18707,2,9
"MONTAJE DE ESCENARIO",11006,3,9
"TOLTERODINA (COMPRIMIDOS)",30031,2,13
"ASOCIACION TRIPLE SAL DE POTASIO+CLORURO DE SODIO+ACIDO SULFAMICO+DODECIL BENCENO+SULFONATO DE SODIO+HEXAMETAFOSFATO DE SODIO+ACIDO MALICO",11959,2,6
"REPARACION DE PROCESADOR DE CHAPAS OFFSET",6339,3,7
"CABLE CONEXION TRANSPORTADOR (CUES - PIG TAIL)",8972,2,12
"ROPA ZALEA EN TELA NO TEJIDA CON CELULOSA",32654,2,9
"ROPA ZALEA ABSORBENTE EN TELA NO TEJIDA CON CELULOSA",32594,2,9
"MANOMETRO PARA ASPIRACION",19521,4,7
"METOPROLOL (COMPRIMIDOS)",16911,2,13
"ARRENDAMIENTO DE LABORATORIO",15028,3,5
"IRRIGADOR (PARA ENEMA)",19163,2,9
"BOLSA PARA HIELO",16017,2,6
"GOMA DE IRRIGADOR",18977,2,9
"CALIBRADOR DE PROLACTINA",21777,2,6
"REACTIVO PARA DETECCION DE MARCADOR TUMORAL COLONRECTAL O PANCREATICO CA 19-9",22174,2,6
"REACTIVO PARA DETECCION DE MARCADOR TUMORAL DE MAMA CA 15-3",22175,2,6
"CALIBRADOR DE TRIIODO TIRONINA (T3)",21780,2,6
"CALIBRADOR DE TIROXINA (T4)",21779,2,6
"DETECCION DE ANTICUERPO IGM ANTI-TOXOPLASMA GONDII - TECNICA IFI",41480,3,8
"JUEGO DE RETENES CAJA DE CAMBIOS",22698,2,12
"KIT DE PLAQUETOFERESIS FLUJO CONTINUO",19267,2,9
"COLUMNA DE AGUA EQUIPO HITACHI",18441,2,9
"FERULA ORTOPEDICA DE POLIPROPILENO MIEMBRO INFERIOR",27749,2,9
"ALCOHOL BUTILICO",2680,2,6
"LENTE DE PROTECCION UV",5400,2,9
"TUBO SUSPENSION PARA TECNICA EN GEL",21331,2,9
"TIRA REACTIVA PARA DETERMINACION DE GAMA GT",37162,2,6
"ENDOSCOPIA SENOS PARANASALES",40291,3,8
"POLIETILENO TUBULAR 60 MICRONES",39056,2,6
"PAPEL PARA MAQUINA REGISTRADORA",8457,2,4
"RETEN PARA BOMBA DE VACIO",73061,2,12
"MODULAR DE METAL",5594,4,8
"ALCOHOL AMILICO",2757,2,6
"HEMATOXILINA DE HARRIS",8246,2,6
"REACTIVO DE GLUCOSA",21984,2,6
"TIRA REACTIVA PARA DETERMINACION DE CREATININA FOSFOKINASA TOTAL (CPK TOTAL)",37160,2,6
"REACTIVO PARA DETECCION DE ANTICUERPO ANTI-TIROGLOBULINA (TGB)",22119,2,6
"BASE DE MADERA PARA TOMACORRIENTE EXTERNO",2518,2,9
"MASCARA DE PROTECCION RESPIRATORIA DE CARA COMPLETA",34028,2,9
"VELCRO",1305,2,3
"SEPARADOR BIVALVO",20447,2,9
"LAVADO DE ROPA DE TRABAJO (UNIFORMES)",13277,3,9
"REPUESTO Y/O ACCESORIO PARA COLPOSCOPIO",19324,2,12
"KETOCONAZOL (CHAMPU)",26247,2,13
"CONFECCION DE PORTALAPIZ",10888,3,9
"CABLE DE ANTENA",29718,2,9
"DUCTO METALICO",5453,2,8
"VALVULA PARA BACHA",15282,2,8
"GUIA DE EJE DE PERA PARA CISTERNA",507,2,8
"SUTURA NYLON MONOFILAMENTO 4-0",20945,2,9
"SET CATETER CENTRAL TIPO HICKMANN",42788,2,9
"CANULA DE TRAQUEOSTOMIA ADULTO TIPO SHILEY SIN BALON",37816,2,9
"PLACA RECOSTITUYENTE CURVA TIPO 10 ORIFICIOS 3,5 M",24914,2,9
"VASO DE COLORACION CILINDRICO CON RANURA",27616,2,9
"TORNILLO PARA MINIPLACA",28458,2,9
"TORNILLO PARA MICROPLACA",28456,2,9
"GRAMPA DE PLASTICO C/CLAVO PARA CABLE TELEFONICO PLANO",28392,2,6
"JUEGO DE REPARACION DE FRENO DE MANO",23899,2,12
"CAJA DE MADERA",35947,2,7
"SERRUCHO DE COSTILLA CON MANGO DE MADERA DENTADO UNIVERSAL (13 - 14 DIENTES/PLG)",268,2,8
"SERRUCHO DE PUNTA REDONDA",15456,2,8
"ESCOFINA DE MEDIA CAÑA GRANO MEDIANO",671,2,8
"JUEGO DE CUCHILLAS",22685,2,12
"BOMBA DE DIRECCION HIDRAULICA",74131,2,12
"INSTALACION DE ARTEFACTO DE ILUMINACION",10046,3,9
"REPARACION DE CANTARA",72954,3,7
"MEDIO DE GRANADA",21908,2,6
"AGAR BASE CANDIDA BCG",4909,2,6
"DOSIFICACION DE LACTATO DESHIDROGENASA (LDH)",24410,3,8
"EZETIMIBE (COMPRIMIDOS)",36129,2,13
"ROSUVASTATINA (COMPRIMIDOS)",36943,2,13
"CORDON TIRAJE",4762,2,9
"SONDA NELATON GOMA 14",20781,2,9
"SONDA NELATON GOMA 30",20789,2,9
"SONDA ALIMENTACION SILICONADA CON OLIVA PEDIATRICA",20558,2,9
"ANCLAJE DE HIERRO",9688,2,8
"ABLACION POR RADIOFRECUENCIA - ADULTO",33203,3,8
"NEBULIZADOR CON TUBULADURA",19690,2,9
"BARRERA INFRARROJA",69805,4,2
"EQUIPO ANALIZADOR",10295,4,3
"INSUMOS PARA EQUIPO DE CONTROL METABOLICO DE DIABETES",37240,2,6
"REPUESTO Y/O ACCESORIO PARA MAQUINA LLENADORA DE POMOS",42847,2,12
"ESCRITORIO DE MADERA Y METAL",2167,4,8
"TENAZA DE ARMADOR DE MEDIO CORTE",1261,2,8
"MAQUINA COMBINADA PARA CARPINTERIA",2163,4,1
"MARTILLO COMBINADO PLASTICO-GOMA",40417,2,8
"CEPILLO DE CARPINTERO",528,2,8
"REACTIVO PARA DETECCION DE ANTICUERPO ANTI-TREPONEMA PALIDUM (SIFILIS)-TECNICA FTA ABS",22127,2,6
"ABRAZADERA DE CINTA",1576,2,8
"PINZA GRAEFFE",20044,2,9
"CORTINA VENECIANA DE ALUMINIO",33379,2,8
"TRASPLANTE DE CORNEA",35511,3,8
"MANTENIMIENTO DE CIRCUITO CERRADO DE TV (CCTV)",4769,3,7
"PUNCION BIOPSICO DE GANGLIO",33342,3,8
"REPARACION DE EQUIPO DE BAÑO MARIA",13282,3,7
"PREPARADO DE COLOR PARA VEHICULO",13093,2,6
"SOLUCION ID PARA CLASIFICACION DE GRUPO SANGUINEO",28556,2,6
"AGAR MAC CONKEY",4944,2,6
"CONTROL POS/NEG PARA DETERMINACION DE ANTICUERPO",33572,2,6
"REACTIVO DE HEMOLISIS",21987,2,6
"REACTIVO PARA DETECCION DE ANTICUERPO IGG ANTI-E HEPATITIS B (HBEAC)",22140,2,6
"DOSIFICACION DE VITAMINA D",27983,3,8
"SOLUCION DE CLORURO DE POTASIO PARA EQUIPO ANALIZADOR",28416,2,6
"CINTA PARA PERSIANA",6247,2,9
"PINTURA PLASTICA AL AGUA",54,2,6
"SIFON DOBLE DE PVC PARA PILETA DE COCINA",15100,2,6
"TIRA REACTIVA PARA DETERMINACION DE GOT",37164,2,6
"REACTIVO DE COLINESTERASA",13220,2,6
"DETERMINACION DE CREATININA KINASA TOTAL (CK-TOTAL/CK-NAC)",27349,3,8
"INSUMOS PARA EQUIPO P/DETERMINACION DE PROCALCITONINA TECNICA CUANTITATIVA",37267,2,6
"REACTIVO DE TRANSFERRINA",22017,2,6
"DETERMINACION DE CREATININA QUINASA FRACCION MB (CK-MB)",27346,3,8
"ANTICUERPO ANTI-ALBUMINA HUMANA MARCADO CON FITC",27738,2,6
"REACTIVO PARA DETECCION DE VIRUS HERPES EN LCR",22187,2,6
"KIT PARA RESOLUCION DE VARIAS ESPECIFICIDADES HLA CLASE I, ALTA RESOLUCION POR PCR-SSP",26505,2,6
"IODURO SODICO Y CLORURO DE CALCIO (USO OFTALMICO GOTAS)",38732,2,13
"ESTROGENO TOPICO VAGINAL (CREMA)",32046,2,13
"CARTUCHO PARA EQUIPO PORTATIL ANALIZADOR SANGRE EN PACIENTES CRITICOS",42402,2,9
"DRUM PARA FAX",9299,4,7
"ECOGRAFIA TESTICULAR",42807,3,8
"IMPERMEABILIZANTE PARA FRENTES",8777,2,6
"PLASTIFICANTE PARA PISOS",836,2,6
"SOLVENTE PARA PLASTICO",13737,2,6
"REPUESTO Y/O ACCESORIO PARA FASCIOTOMO",43028,2,12
"ADAPTADOR DE ANTENA DE TV CABLE",26812,4,4
"ADAPTADOR DE ANTENA TV ABIERTA",26810,4,4
"LIBRO INFANTIL",4599,2,4
"ESTUDIO MICOLOGICO DE UÑA",39790,3,8
"MATE PARA ACTIVIDAD DIDACTICA",12721,2,9
"ECOGRAFIA DE CUELLO",43031,3,8
"MANTENIMIENTO Y REP.DE SISTEMAS HIDRAULICOS PARA VEHICULOS Y EQUIPOS INDUSTRIALES",26549,3,7
"ACIDO CITRICO Y CITRATO DE POTASIO ORAL BEBIBLE",43088,2,13
"PINCEL DE PITA",4679,2,9
"REJILLA PARA REGUERA",29581,2,8
"PUNCION BIOPSICA BAJO TAC SIN DRENAJE (OSEO)",24565,3,8
"ECODOPPLER COLOR ABDOMINAL",40654,3,8
"PULSADOR DE TRANSMISION / RECEPCION",27300,4,7
"HERRAMIENTA PARA ENSAMBLADO DE PC",28011,2,8
"TECLA LIMITE",12351,4,7
"SWITCH DE DOS POSICIONES PARA EQUIPO DE TRANSPORTE",13591,2,12
"MANUAL TECNICO",5873,2,4
"INTERFAZ IVR",26514,10,43
"MICROFONO PARA RADIOTRANSMISOR",12794,2,9
"CONTRATACION DE AGENCIA PARA ENCUESTA DE OPINION PUBLICA",11563,3,2
"ASESORAMIENTO EN GESTION DE CALIDAD",9544,3,8
"APLICADOR DE INSULINA TIPO LAPICERA PARA ADULTO",17225,2,9
"INMUNOFENOTIPO EN MEDULA OSEA",35472,3,8
"GUANTES DE LATEX PESADOS",14673,2,9
"RAMAL Y INVERTIDO DE PPL (EVACUACION)",34219,2,6
"CUPLA DE PPL (EVACUACION)",34209,2,6
"RAMAL T DE HIERRO FUNDIDO",2212,2,8
"HOJA DE SIERRA SIN FIN PARA METAL 12.70 MM",2103,2,8
"TANQUE PVC",11737,2,6
"MARCO DE HORMIGON C/TAPA P/MOSAICO",10455,2,7
"PERCHERO DE LOZA",4843,2,7
"ACIDO CLORHIDRICO PARA SOLDADURA",13089,2,6
"SULFATO DE ZINC",1527,2,6
"TOMOGRAFIA DE COHERENCIA OPTICA (TCO) BILATERAL",35849,3,8
"CADENA PARA LINEA DE FONDEO",15061,2,8
"EMBOLIZACION PREOPERATORIA DE MENINGIOMA",33119,3,8
"DACRIOCISTORRINOSTOMIA ENDONASAL",43109,3,8
"BOMBA HIDRAULICA DE DIRECCION PARA EQUIPO DE TRANSPORTE",5857,4,7
"DISPENSADOR DE NUMEROS",8844,2,9
"ENGRANAJE DE TOMA DIRECTA PARA EQUIPO DE TRANSPORTE",22628,2,12
"DISCO DE CORTE DE PULIDORA PARA ACERO INOX",40414,2,8
"MASILLA POLIURETANICA",9729,2,6
"CERA PARA LUSTRAR AUTOS",2004,2,6
"ESPATULA DE PLASTICO",12986,2,9
"BATERIA PARA EQUIPO VHF",3114,2,9
"DETECCION DE ANTICUERPO ANTI - COXIELLA",27525,3,8
"HONORARIO DE MEDICO PARA ESTUDIOS - CAMPO VISUAL",33418,3,8
"DISCO INTERIOR DE EMBRAGUE DE BAJA",23613,2,12
"CONECTOR PARA CAJA DE INSTALACION ELECTRICA",27642,2,9
"CUADERNOLA CON INDICE",70130,2,4
"PAPEL PARA IMPRESION FOTOGRAFICA",12188,2,4
"GOMA SOPORTE P/BATERIA",11054,4,7
"EOSINA AMARILLA",21845,2,6
"MANTENIMIENTO DE MAQUINA DE ANESTESIA",42648,3,7
"ESCITALOPRAM ( COMPRIMIDOS)",42323,2,13
"VALVULA DE RETENCION EN BRONCE",11293,2,8
"IODOFORO (SOLUCION)",26224,2,13
"TELA SARGA",12229,2,3
"INMUNOGLOBULINA POLIVALENTE (I/M O S/C)",27421,2,13
"DOSIFICACION DE COLESTEROL HDL",24368,3,8
"REACTIVO PARA DETERMINAR AMILASA PANCREATICA",21947,2,6
"DOSIFICACION DE PROTEINAS EN SANGRE (PROTEINEMIA)",41839,3,8
"CATETER DOBLE LUZ AC.TEM. 20 CM",17980,2,9
"CATETER DOBLE LUZ PERMANENTE",17984,2,9
"REPARACION DE RELOJ ELECTROMECANICO PARA CONTROL DE ASISTENCIA",8909,3,7
"MASCARA DE OXIGENO DE FLUJO LIBRE",19577,2,9
"TIRA REACTIVA PARA MICROALBUMINURIA",22335,2,6
"DOSIFICACION DE PROTEINAS TOTALES",24419,3,8
"SOPORTE PARA TALADRO MANUAL",6790,2,8
"COLANGIOGRAFIA RETROGRADA ENDOSCOPICA CON PAPILOTOMIA LITOTRICIA Y EXTRACCION DE CALCULOS",33031,3,8
"ESTUDIO INMUNOHISTOQUIMICO CD 10",36179,3,8
"REACTIVO PARA LA DETECCION DE MARCADOR TUMORAL TTF-1",27661,2,6
"CENTRAL DE RECEPCION Y MONITOREO DE ALARMAS",13405,4,2
"CLORURO DE CALCIO",1474,2,6
"CLORURO DE POTASIO",1502,2,6
"CLORURO DE ESTAÑO (II)",3444,2,6
"FOSFATO MONOACIDO DE SODIO",1512,2,6
"PERSULFATO DE AMONIO",21930,2,6
"SULFATO DE HIDRACINA",31191,2,6
"SULFATO DE PLATA",1508,2,6
"ACIDO SULFAMICO",10024,2,6
"CLORURO DE MAGNESIO",1488,2,6
"ACIDO OXALICO DIHIDRATO",1464,2,6
"VASO DE BOHEMIA DE PLASTICO DE 500 ML",15945,2,9
"SILICA GEL CON INDICADOR",22275,2,6
"FIBROBRONCOSCOPIO",27149,4,3
"CAJA DE ACERO INOXIDABLE CON TAPA",2049,2,9
"SISTEMA DE PUESTA A TIERRA",40794,4,3
"TUBO PARA ACETILENO",695,2,8
"PERFIL NORMAL UPN",2582,2,8
"TIRANTE DE CURUPAY",10918,2,7
"CONTROL QUIMICO DE ESTERILIZACION POR CALOR HUMEDO (AUTOCLAVE)",18725,2,9
"MANGUERA PARA SURTIDOR",3106,2,6
"TORNILLO CORTICAL 3.5 MM.20",25087,2,9
"TUERCA DE BRONCE (AUTOBLOQUEANTE)",3990,4,7
"BARRA PARA CIRUGIA DE COLUMNA",28460,2,9
"SOFA TAPIZADO EN SIMIL CUERO",30794,4,8
"RAMPA",20282,2,9
"TARJETA DE WUSB",5972,10,43
"SONDA PETZZER",15671,2,9
"MECHA PARA SIERRA STRIKER 1,6 MM DIAMETRO",24819,2,9
"CATETER ACC.VASC.PERIFERICO CORTO 20 CON CAM BIOSEG",17911,2,9
"ELECTROOCULOGRAFIA",33111,3,8
"CAMARA FRIGORIFICA AUTOCONTENIDA",27665,4,1
"ABRAZADERA PRENSACABLE",12551,2,6
"PLANCHA DE POLIURETANO TIPO POLYFON",2002,2,6
"TORNILLO CORTICAL PEQUEÑOS FRAGMENTOS 3,5 DIAMETRO 30MM",25065,2,9
"TORNILLO CORTICAL PEQUEÑOS FRAGMENTOS 3,5 DIAMETRO 50MM",25070,2,9
"TORNILLO CORTICAL GRANDES FRAGMENTOS 4,5 DIAMETRO 60MM",25052,2,9
"DESTORNILLADOR AUTOMATICO (MANUAL)",12319,2,8
"PALA CURVA 1",19761,2,9
"PROBIOTICO (POLVO ORAL)",43215,2,13
"REPARACION DE CAMARA DE DESAGÜE",8393,6,8
"POLVO KARAYA",43156,2,13
"CENTELLOGRAMA DE PERFUSION MIOCARDICA SENSIBILIZADO CON POOL CARDIOVASCULAR",35418,3,8
"VIGABATRIN (COMPRIMIDOS)",17103,2,13
"ACEITE DE PESCADO (CAPSULAS)",43134,2,13
"NITROFURAZONA (SOLUCION)",26312,2,13
"CLONIDINA (COMPRIMIDOS)",16709,2,13
"TIABENDAZOL (COMPRIMIDOS)",4261,2,13
"APOSITO ESTERIL DE CARBON ACTIVADO",26051,2,9
"ESTRADIOL (OVULOS)",43133,2,13
"DIAZOXIDO (COMPRIMIDOS)",26517,2,13
"GRISEOFULVINA (COMPRIMIDOS)",16832,2,13
"POLIDOCANOL (INYECTABLE)",42713,2,13
"TOXINA BOTULINICA (INYECTABLE)",26431,2,13
"LEVETIRACETAM (COMPRIMIDOS)",36126,2,13
"PROGESTERONA",17003,2,13
"PROPANTELINA",17006,2,13
"ASOCIACION DE ANESTESICOS TOPICOS",25968,2,13
"TOPIRAMATO (COMPRIMIDOS)",17079,2,13
"CLOBAZAM (COMPRIMIDOS)",16705,2,13
"MILRINONA (INYECTABLE)",37614,2,13
"APOSITO ANTISEPTICO",11381,2,9
"DEFERROXAMINA (INYECTABLE)",16732,2,13
"REPARACION DE VOLCADORA",9029,3,7
"PASTA PARA ADHESION DE BOLSA DE OSTOMIA A LA PIEL",43157,2,6
"PLACA IDENTIFICATORIA",29792,2,9
"CINTA PARE",11082,2,6
"ELABORACION DE PRESUPUESTO PARA REPARACION",12759,3,9
"TERRAJA OSEA PARA IMPLANTE DENTAL",28158,2,9
"ESTABILIZADOR DE TENSION",9913,2,9
"COLISTINA (INYECTABLE)",43216,2,13
"SERVICIO DE LIMPIEZA DE PUERTOS Y RECOLECCION DE RESIDUOS",43195,3,9
"BLOCK DE CARTULINA DE COLORES",66449,2,4
"REPARACION DE SISTEMA DE VENTILACION",15092,3,7
"ENTRERROSCA DE HIERRO GALVANIZADO",4871,2,8
"PINZA BIPOLAR HIPOFISIS",43198,2,9
"RASPADOR LANDOLT REULEN",43197,2,9
"MICROTIJERA FAHLBUSCH",43196,2,9
"DETERMINACION DE MUTACION EN GEN DE TIROSINA QUINASA JAK2 (JANUS ACTIVATED KINASE)",42987,3,8
"HOJA DE NEOPLAC EN PINO BRASIL",14089,2,7
"CANTONERA DE ALUMINIO",35216,2,8
"LARINGOSCOPIO ESTANDAR COMPLETO (PALAS CURVAS)",32707,2,9
"CINTA AISLANTE (PARA ALTA TEMPERATURA)",13576,2,9
"MANGO LARINGO",19466,2,9
"GUIA HIDROFILICA TIPO TERUMO 0,018"" X 2,60 M",43235,2,9
"BALASTO NATURAL",3,2,2
"PUERTA DE CHAPA EXTERIOR CIEGA",9805,2,8
"PIEDRA DE ASENTAR",13692,2,9
"LADRILLO REFRACTARIO TIPO CHORIZO",3556,2,7
"REVESTIMIENTO EN LADRILLO",8405,6,8
"LAYOTA CORRUGADA",15002,2,7
"CHAPA DE FIBROCEMENTO AUTOPORTANTE DE 8 MM",9182,2,7
"NIVEL PARA ALBAÑIL (CUERPO DE FIBRA)",14081,2,8
"LLAVE PARA VARILLA",1193,2,8
"ESTUDIO DE GREEN CON GRILLA",32940,3,8
"COLANGIOGRAFIA RETROGRADA ENDOSCOPICA CON INTUBACION TRANSTUMORAL",33323,3,8
"BURETA GRADUADA DE VIDRIO PARA LLAVE MOHR",2618,2,7
"BOLSA ESTERIL PARA EQUIPO LICUADOR-HOMOGEINIZADOR DE MUESTRA",7620,2,9
"REPARACION DE ULTRACENTRIFUGA",15115,3,7
"JABON CON CLORHEXIDINA",42222,2,6
"ESTUDIO DE PERFUSION MIOCARDICA POR ECOCARDIOGRAFIA",39755,3,8
"CONTROL DE ACIDO FOLICO",29946,2,6
"ECOCARDIOGRAMA ESTRES SENSIBILIZADO CON DIPIRIDAMOL",33210,3,8
"DOSIFICACION DE FOSFATASA ACIDA PROSTATICA",24393,3,8
"AGAR BRAIN HEART INFUSION",4907,2,6
"MEDIO CULTIVO PARA ENSAYO DE ANTIBIOTICO",32572,2,6
"CALDO LAURIL TRIPTOSA",4989,2,6
"REPUESTO Y/O ACCESORIO PARA EQUIPO CPAP / BPAP",17401,2,9
"FUENTE DE ALIMENTACION (ELIMINADOR DE PILAS)",9998,2,9
"SEPARADOR INTERDIGITAL GRANDE",20473,2,9
"SEPARADOR INTERDIGITAL MEDIANO",20474,2,9
"SEPARADOR INTERDIGITAL PARA PIES",20472,2,9
"CABLE INTERMEDIARIO PARA OXIMETRIA DE PULSO",17674,4,7
"CAÑO HIDRAULICO PARA EQUIPO DE TRANSPORTE",11628,2,12
"TERMINAL PARA CABLE DE BATERIA",3422,2,8
"CUÑA DE MADERA",433,2,7
"CONTROL POSITIVO PARA VDRL",21831,2,6
"REACTIVO DE HORMONA ESTIMULANTE DE TIROIDES NEONATAL EN SANGRE (TSH)",21992,2,6
"VALVULA DE AHMED",43256,2,9
"ELEMENTO DE FILTRO DEL SURTIDOR DE GASOIL",12095,4,7
"FILTRO DE AIRE (PARA MOTO)",8364,2,12
"CORREA DE COMPRESOR DE AIRE",6264,2,12
"ARANDELA (LOCKWASHER)",3640,2,12
"PERNO DE PARADA DE INYECTOR",23180,2,12
"INFLIXIMAB (INYECTABLE)",27080,2,13
"REPARACION DE EQUIPO PARA FISIOTERAPIA",15170,3,7
"PICO CORTADOR",6715,2,8
"GUIA PARA PICO CORTADOR (CARRO)",29430,2,8
"COMPAS PARA PICO CORTADOR",6278,2,8
"REGULADOR DE PRESION PARA SUPERGAS (AUTOGENA)",6453,2,8
"CALENTADOR PARA PECERA",35852,2,9
"CUADERNA PARA AERONAVE",43048,2,12
"LIBRO TAPAS PLASTIFICADAS",34040,2,4
"DETECCION DE CHLAMYDIA TRACHOMATIS EN SECRECIONES",34393,3,8
"CONTROL DE PROTEINAS URINARIAS",21832,2,6
"SOLUCION CITRATO SODICO (ANTICOAGULANTE PARA CRASIS)",36868,2,6
"JERINGA UROLOGICA DESCARTABLE",43132,2,9
"PANEL",10417,2,12
"TACOMETRO",14780,4,3
"REACTIVO PARA CUANTIFICAR INMUNOGLOBULINA G (IGG)",22037,2,6
"CHAPA DE AGLOMERADO ENCHAPADA",102,2,7
"ALARGADOR PARA RODILLO DE PINTOR",13467,2,9
"CUERDA DE POLIPROPILENO TRENZADA",14583,2,6
"CONEXION EN Y CON SENSOR",18483,2,9
"REGULADOR DE OXIGENO",20297,2,9
"MAPA",36853,2,9
"AMORTIGUADOR TRASERO PARA EQUIPO DE TRANSPORTE",66092,2,12
